Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Tending Roses,Lisa Wingate,14.09,4,0,Užsienio romanai
Emma,Jane Austen,2.69,4,0,Užsienio romanai
Crime and Punishment,Fyodor Dostoevsky,7.99,4,0,Užsienio romanai
Middlemarch,George Eliot,14.79,4,0,Užsienio romanai
Sherlock Holmes: The Complete Novels and Stories Volume II,Arthur Conan Doyle,10.69,4,0,Užsienio romanai
Between Sisters,Kristin Hannah,21.49,4,0,Užsienio romanai
The True Story of Hansel and Gretel,Louise Murphy,12.09,4,0,Užsienio romanai
Ben-Hur,Lew Wallace,7.99,4,0,Užsienio romanai
Love's Long Journey (Love Comes Softly Book #3),Janette Oke,14.89,4,0,Užsienio romanai
Love's Enduring Promise (Love Comes Softly Book #2),Janette Oke,14.89,4,0,Užsienio romanai
Love Comes Softly (Love Comes Softly Book #1),Janette Oke,14.89,4,0,Užsienio romanai
The Glass Bead Game,Hermann Hesse,22.89,4,0,Užsienio romanai
The Dark Highlander,Karen Marie Moning,11.39,4,0,Užsienio romanai
Purity in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Out of Control,Suzanne Brockmann,14.79,4,0,Užsienio romanai
The Secret Garden,Frances Hodgson Bu...,13.39,4,0,Užsienio romanai
Fantasy Lover,Sherrilyn Kenyon,13.69,4,0,Užsienio romanai
Under the Eagle,Simon Scarrow,13.69,4,0,Užsienio romanai
Circus of the Damned,Laurell K. Hamilton,14.09,4,0,Užsienio romanai
Obsidian Butterfly,Laurell K. Hamilton,12.79,4,0,Užsienio romanai
Reunion in Death,J. D. Robb,14.09,4,0,Užsienio romanai
The Brothers Karamazov,Fyodor Dostoevsky,18.89,4,0,Užsienio romanai
Bloody Bones,Laurell K. Hamilton,12.79,4,0,Užsienio romanai
Face the Fire,Nora Roberts,14.09,4,0,Užsienio romanai
Jackdaws,Ken Follett,16.09,4,0,Užsienio romanai
Naked in Death,J. D. Robb,5.99,4,0,Užsienio romanai
A Common Life,Jan Karon,22.89,4,0,Užsienio romanai
A Christmas Carol,Charles Dickens,7.99,4,0,Užsienio romanai
Little Dorrit,Charles Dickens,6.69,4,0,Užsienio romanai
Scarlet Feather,Maeve Binchy,9.39,4,0,Užsienio romanai
Year of Wonders,Geraldine Brooks,21.49,4,0,Užsienio romanai
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,20.19,4,0,Užsienio romanai
Midnight Bayou,Nora Roberts,12.79,4,0,Užsienio romanai
Covenant (Abram's Daughters Book #1),Beverly Lewis,16.39,4,0,Užsienio romanai
Candle in the Darkness (Refiner's Fire Book #1),Lynn Austin,9.69,4,0,Užsienio romanai
Over the Edge,Suzanne Brockmann,12.79,4,0,Užsienio romanai
The Hound of the Baskervilles,Arthur Conan Doyle,7.99,4,0,Užsienio romanai
Plainsong,Kent Haruf,21.49,4,0,Užsienio romanai
The Glass Palace,Amitav Ghosh,24.89,4,0,Užsienio romanai
Fifth Business,Robertson Davies,7.99,4,0,Užsienio romanai
Betrayal in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Seduction in Death,J. D. Robb,12.79,4,0,Užsienio romanai
Carolina Moon,Nora Roberts,14.09,4,0,Užsienio romanai
L.A. Dead,Stuart Woods,14.09,4,0,Užsienio romanai
Jayber Crow,Wendell Berry,18.09,4,0,Užsienio romanai
The Villa,Nora Roberts,14.09,4,0,Užsienio romanai
Dance Upon the Air,Nora Roberts,9.39,4,0,Užsienio romanai
The Bonesetter's Daughter,Amy Tan,22.89,4,0,Užsienio romanai
The Way We Live Now,Anthony Trollope,6.69,4,0,Užsienio romanai
Sharpe's Rifles (#1),Bernard Cornwell,11.39,4,0,Užsienio romanai
Hidden Places,Lynn Austin,16.39,4,0,Užsienio romanai
Heaven and Earth,Nora Roberts,12.79,4,0,Užsienio romanai
Pastoralia,George Saunders,12.79,4,0,Užsienio romanai
Sharpe's Enemy (#6),Bernard Cornwell,22.19,4,0,Užsienio romanai
Sense and Sensibility,Jane Austen,5.99,4,0,Užsienio romanai
The Magnificent Ambersons,Booth Tarkington,6.69,4,0,Užsienio romanai
Vanity Fair,William Makepeace...,6.69,4,0,Užsienio romanai
Pride and Prejudice,Jane Austen,5.99,4,0,Užsienio romanai
The Three Musketeers,Alexandre Dumas,6.69,4,0,Užsienio romanai
Of Human Bondage,W. Somerset Maugham,6.69,4,0,Užsienio romanai
Middlemarch,George Eliot,6.69,4,0,Užsienio romanai
A Christmas Carol and Other Stories,Charles Dickens,10.09,4,0,Užsienio romanai
The Picture of Dorian Gray,Oscar Wilde,6.69,4,0,Užsienio romanai
The Souls of Black Folk,W. E. B. Du Bois,6.69,4,0,Užsienio romanai
Our Mutual Friend,Charles Dickens,15.39,4,0,Užsienio romanai
Persuasion,Jane Austen,6.69,4,0,Užsienio romanai
Emma,Jane Austen,5.99,4,0,Užsienio romanai
Dracula,Bram Stoker,5.99,4,0,Užsienio romanai
David Copperfield,Charles Dickens,6.69,4,0,Užsienio romanai
Les Misérables,Victor Hugo,11.39,4,0,Užsienio romanai
Gods and Generals,Jeff Shaara,2.69,4,0,Užsienio romanai
Siddhartha,Hermann Hesse,6.69,4,0,Užsienio romanai
Tears of the Moon,Nora Roberts,9.39,4,0,Užsienio romanai
Tipping the Velvet,Sarah Waters,12.79,4,0,Užsienio romanai
La Dame aux Camélias,Alexandre Dumas,13.99,4,0,Užsienio romanai
Wives and Daughters,Elizabeth Gaskell,15.39,4,0,Užsienio romanai
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,11.19,4,0,Užsienio romanai
Witness in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Judgment in Death,J. D. Robb,14.09,4,0,Užsienio romanai
River's End,Nora Roberts,14.09,4,0,Užsienio romanai
Jane Eyre,Charlotte Brontë,5.99,4,0,Užsienio romanai
A New Song,Jan Karon,16.79,4,0,Užsienio romanai
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,6.69,4,0,Užsienio romanai
Heart of the Sea,Nora Roberts,12.79,4,0,Užsienio romanai
The Left Hand of Darkness,Ursula K. Le Guin,14.79,4,0,Užsienio romanai
Hunger,Knut Hamsun,18.69,4,0,Užsienio romanai
Bulfinch's Mythology,Thomas Bulfinch,27.59,4,0,Užsienio romanai
Crime and Punishment,Fyodor Dostoevsky,12.09,4,0,Užsienio romanai
The Tenant of Wildfell Hall,Anne Brontë,12.09,4,0,Užsienio romanai
Ice Station,Matthew Reilly,13.69,4,0,Užsienio romanai
Excalibur,Bernard Cornwell,22.89,4,0,Užsienio romanai
Conspiracy in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Inner Harbor,Nora Roberts,14.09,4,0,Užsienio romanai
Loyalty in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Jewels of the Sun,Nora Roberts,5.99,4,0,Užsienio romanai
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,19.49,4,0,Užsienio romanai
My Year of Meats,Ruth Ozeki,11.39,4,0,Užsienio romanai
The Posthumous Memoirs of Brás Cubas,Joaquim Maria Mach...,48.39,4,0,Užsienio romanai
Beyond Good and Evil,Friedrich Nietzsche,13.99,4,0,Užsienio romanai
The Jungle Books,Rudyard Kipling,10.49,4,0,Užsienio romanai
The Adventures of Sherlock Holmes,Arthur Conan Doyle,10.49,4,0,Užsienio romanai
Just So Stories for Little Children,Rudyard Kipling,12.59,4,0,Užsienio romanai
Captain Blood,Nezinomas autorius,9.49,4,0,Užsienio romanai
The Diary of Mattie Spenser,Sandra Dallas,18.89,4,0,Užsienio romanai
Enemy of God,Bernard Cornwell,20.89,4,0,Užsienio romanai
Leo Africanus,Amin Maalouf,23.79,4,0,Užsienio romanai
Twenty Years After,Alexandre Dumas,17.49,4,0,Užsienio romanai
North and South,Elizabeth Gaskell,9.09,4,0,Užsienio romanai
Bleak House,Charles Dickens,12.59,4,0,Užsienio romanai
"The Call of the Wild, White Fang, and Other Stories",Jack London,9.09,4,0,Užsienio romanai
Friends and Lovers,Eric Jerome Dickey,21.49,4,0,Užsienio romanai
Out to Canaan,Jan Karon,16.09,4,0,Užsienio romanai
The Annotated Anne of Green Gables,L. M. Montgomery,67.49,4,0,Užsienio romanai
Vengeance in Death,J. D. Robb,14.09,4,0,Užsienio romanai
The Killing Dance,Laurell K. Hamilton,14.09,4,0,Užsienio romanai
Ceremony in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Finding the Dream,Nora Roberts,12.79,4,0,Užsienio romanai
The Annotated Anne of Green Gables,L. M. Montgomery,67.49,4,0,Užsienio romanai
Montana Sky,Nora Roberts,14.09,4,0,Užsienio romanai
Holding the Dream,Nora Roberts,12.79,4,0,Užsienio romanai
Drown,Junot Diaz,19.49,4,0,Užsienio romanai
This Earth of Mankind,Pramoedya Ananta Toer,21.49,4,0,Užsienio romanai
Born in Shame,Nora Roberts,14.09,4,0,Užsienio romanai
Daring to Dream,Nora Roberts,10.69,4,0,Užsienio romanai
Immortal in Death,J. D. Robb,14.09,4,0,Užsienio romanai
True Betrayals,Nora Roberts,10.69,4,0,Užsienio romanai
Rapture in Death,J. D. Robb,14.09,4,0,Užsienio romanai
The Master and Margarita,Mikhail Bulgakov,26.09,4,0,Užsienio romanai
Pride and Prejudice,Jane Austen,0.59,4,0,Užsienio romanai
Les Liaisons dangereuses,Pierre Choderlos d...,12.59,4,0,Užsienio romanai
Glory in Death,J. D. Robb,14.09,4,0,Užsienio romanai
Black Cross,Greg Iles,12.79,4,0,Užsienio romanai
Born in Ice,Nora Roberts,9.39,4,0,Užsienio romanai
The Hundred Secret Senses,Amy Tan,24.89,4,0,Užsienio romanai
Private Scandals,Nora Roberts,14.09,4,0,Užsienio romanai
Born in Fire,Nora Roberts,5.99,4,0,Užsienio romanai
Berlin Noir,Philip Kerr,21.49,4,0,Užsienio romanai
Martin Eden,Jack London,7.99,4,0,Užsienio romanai
Honest Illusions,Nora Roberts,10.69,4,0,Užsienio romanai
Charms for the Easy Life,Kaye Gibbons,16.79,4,0,Užsienio romanai
Of Human Bondage,W. Somerset Maugham,14.79,4,0,Užsienio romanai
The Surgeon's Mate (Vol. Book 7)  (Aubrey/Maturin Novels),Patrick O'Brian,20.89,4,0,Užsienio romanai
Cancer Ward,Aleksandr Solzheni...,24.79,4,0,Užsienio romanai
The Mauritius Command (Vol. Book 4)  (Aubrey/Maturin Novels),Patrick O'Brian,20.89,4,0,Užsienio romanai
H. M. S. Surprise (Vol. Book 3)  (Aubrey/Maturin Novels),Patrick O'Brian,20.89,4,0,Užsienio romanai
Master and Commander (Vol. Book 1)  (Aubrey/Maturin Novels),Patrick O'Brian,20.89,4,0,Užsienio romanai
Post Captain (Vol. Book 2)  (Aubrey/Maturin Novels),Patrick O'Brian,20.89,4,0,Užsienio romanai
Our Mutual Friend,Charles Dickens,13.99,4,0,Užsienio romanai
Little Women,Louisa May Alcott,14.09,4,0,Užsienio romanai
Battles in the Desert & Other Stories,Jose Emilio Pacheco,20.29,4,0,Užsienio romanai
Terms of Endearment,Larry Mcmurtry,15.69,4,0,Užsienio romanai
Everything That Rises Must Converge: Stories,Flannery O'Connor,18.29,4,0,Užsienio romanai
The Divine Comedy,Dante Alighieri,25.19,4,0,Užsienio romanai
The Divine Comedy,Alighieri Dante,25.19,4,0,Užsienio romanai
Gondolino žlugimas,J.R.R. Tolkien,16.69,0,0,Fantastika
Sostų žaidimas. Ledo ir ugnies giesmė #1,George R.R. Martin,22.19,4,27,Fantastika
Amžinoji šviesa. Husitų trilogija. Trečia knyga,Andrzej Sapkowski,21.69,0,0,Fantastika
Nepaprastos Karalystės pasakos,J. R. R. Tolkien,15.19,5,1,Fantastika
Sukčių karalystė. Šešeto varnų antra knyga,Leigh Bardugo,24.39,4,8,Fantastika
Ugnies paveldėtoja. Serijos „Stiklo sostas“ trečia knyga,Sarah J. Maas,24.29,4,21,Fantastika
Šešetas varnų. Pirma knyga,Leigh Bardugo,22.99,4,26,Fantastika
Paslaptingi piešiniai,Jason Rekulak,18.79,4,3,Fantastika
Degančios mergaitės,C. J. Tudor,19.49,4,7,Fantastika
Berenas ir Lutijena,J.R.R. Tolkien,15.29,4,0,Fantastika
PAMAINA. Antroji tarptautinės „Šachtos“ bestselerių trilogijos dalis,Hugh Howey,14.69,4,12,Fantastika
DULKĖS. Trečioji tarptautinės „Šachtos“ bestselerių trilogijos dalis,Hugh Howey,14.69,4,6,Fantastika
ŠACHTA. Pirmoji tarptautinės „Šachtos“ bestselerių trilogijos dalis,Hugh Howey,12.79,4,25,Fantastika
KETVIRTASIS SPARNAS. Skrisk arba mirk. Serijos „Empirėjus“ pirma knyga,Rebecca Yarros,24.29,4,67,Fantastika
Miegančiosios gražuolės,"Stephen King, Owen...",23.89,2,8,Fantastika
Dievo kariai. Husitų trilogija. Antra knyga,Andrzej Sapkowski,20.89,5,3,Fantastika
Hurino vaikai,J.R.R. Tolkien,14.49,5,2,Fantastika
Vidurnakčio karūna. Serijos „Stiklo sostas“ antra knyga,Sarah J. Maas,17.99,4,24,Fantastika
9 apgamėliai,Lina Žutautė,13.59,4,5,Fantastika
Kvailių bokštas,Andrzej Sapkowski,20.89,0,0,Fantastika
Stiklo sostas. Pirma knyga,Sarah J. Maas,16.99,5,28,Fantastika
Namas žydrame vandenyne,T.J. Klune,19.79,4,7,Fantastika
Givunėliu kapinės,Stephen King,19.19,3,17,Fantastika
Jei bus kraujo,Stephen King,19.89,5,3,Fantastika
Piranezis,Susanna Clarke,15.99,5,7,Fantastika
Institucija,Stephen King,16.79,4,17,Fantastika
Švytėjimas,Stephen King,13.09,4,10,Fantastika
Silmariljonas,J.R.R. Tolkien,13.59,5,7,Fantastika
Miegoti jūroje žvaigždžių,Christopher Paolini,29.49,3,13,Fantastika
Skirtingi metų laikai,Stephen King,11.69,4,7,Fantastika
Džonatanas Streindžas ir ponas Norelis,Susanna Clarke,25.49,4,4,Fantastika
Likimo kalavijas. Raganius. 2 dalis,Andrzej Sapkowski,13.29,4,17,Fantastika
Stranger Things. Įtarūs protai,Gwenda Bond,11.79,3,10,Fantastika
Paskutinis noras. Raganius. 1 dalis,Andrzej Sapkowski,13.29,4,45,Fantastika
Žiedų valdovas. Karaliaus sugrįžimas. 3 dalis,J. R. R. Tolkien,13.29,5,9,Fantastika
Krikštas ugnimi. Raganius. 5 dalis,Andrzej Sapkowski,13.29,5,7,Fantastika
Žiedų valdovas. Dvi tvirtovės. 2 dalis,J. R. R. Tolkien,13.29,5,5,Fantastika
Žiedų valdovas. Žiedo brolija. 1 dalis,J. R. R. Tolkien,13.29,4,18,Fantastika
Paniekos metas,Andrzej Sapkowski,13.29,0,0,Fantastika
Elfų kraujas,Andrzej Sapkowski,13.29,0,0,Fantastika
Ežero valdovė. Raganius. 7 knyga,Andrzej Sapkowski,13.29,0,0,Fantastika
Kregždės bokštas,Andrzej Sapkowski,13.29,0,0,Fantastika
Kokybės šalis,Marc-Uwe Kling,13.49,0,0,Fantastika
Šmėklų mėnuo,Andrius Tapinas,22.99,5,2,Fantastika
Adelinos vaiduokliai,H. D. Carlton,15.29,4,47,Fantastika
451° Farenheito,Ray Bradbury,12.39,4,17,Fantastika
"ŠITO GYVENIMO SKONIS. Romanas apie buitį ir būtį, alkį ir sotumą, vidinį turinį ir išorinius vaidmenis",Sara Poisson,13.99,5,0,Fantastika
Žemiškos pabaisos,J.M. Miro,16.59,4,4,Fantastika
Kopa. Kapitulos namai. Šešta „Kopa“ kronikų knyga,Frank Herbert,20.89,5,2,Fantastika
TROŠKIMAS. Nr. 1 New York Times bestseleris – kolekcinis 600 psl. leidimas kietais viršeliais,Tracy Wolff,15.99,3,7,Fantastika
Kopa. Kopos eretikai. Penkta „Kopa“ kronikų knyga,Frank Herbert,20.89,4,6,Fantastika
Aukštnamis,J. G. Ballard,18.99,2,2,Fantastika
KNYGA APIE FORMĄ IR TUŠTUMĄ. Romano „Knyga laiko būčiai“ autorės knyga,Ruth Ozeki,16.49,4,0,Fantastika
Kopa. Kopos Dievas Imperatorius. Ketvirta „Kopa“ kronikų knyga,Frank Herbert,20.89,4,5,Fantastika
"PUIKUS NAUJAS PASAULIS. Vienas iš geriausių XX a. romanų, šiurpus bet kokio universalios laimės režimo simbolis",Aldous Huxley,8.89,4,31,Fantastika
"Apie katiną, gelbėjusį knygas",Sosuke Natsukawa,11.49,5,6,Fantastika
Kopos vaikai. Trečia „Kopa“ kronikų knyga,Frank Herbert,20.89,4,11,Fantastika
"Pasirinkimas (Drakono širdies palikimas, #3)",Nora Roberts,8.79,5,2,Fantastika
TYKANTIS TAMSOJE. Siaubo ir keistosios literatūros klasiko tekstai – tarsi skiepai nuo egocentrizmo,Howard Phillips Lo...,14.79,4,14,Fantastika
Mirties pabaiga,Liu Cixin,17.19,4,9,Fantastika
Kopa. Mesijas. Antra „Kopa“ kronikų knyga,Frank Herbert,17.09,4,20,Fantastika
"Tapsmas (Drakono širdies palikimas, #2)",Nora Roberts,8.69,5,3,Fantastika
"Pabudimas (Drakono širdies palikimas, #1)",Nora Roberts,8.69,4,12,Fantastika
Našlaičių prižiūrėtojo sūnus,Adam Johnson,9.19,4,17,Fantastika
Kopa. Pirma „Kopa“ kronikų knyga,Frank Herbert,21.29,4,39,Fantastika
Antrasis Fondas. 3 knyga,Isaac Asimov,12.09,5,4,Fantastika
Fondas. 1 knyga,Isaac Asimov,7.19,4,13,Fantastika
MARSIETIS. Vienos geriausių mokslinės fantastikos knygų naujas leidimas!,Andy Weir,10.09,4,32,Fantastika
Tamsus miškas. Romano „Trijų kūnų problema“ tęsinys,Liu Cixin,14.79,4,12,Fantastika
SANTAKA. Pietinis pakraštys. 2 dalis,Jeff VanderMeer,12.09,4,3,Fantastika
Trijų kūnų problema,Liu Cixin,12.69,4,21,Fantastika
SUNAIKINIMAS,Jeff VanderMeer,11.19,4,4,Fantastika
"ARTEMIDĖ: naujas mokslinės fantastikos perliukas, dar vienas patrauklus technologijų, įtampos ir humoro kokteilis, kurį suplakė bestselerio „Marsietis“ autorius",Andy Weir,8.79,4,8,Fantastika
Ar androidai svajoja apie elektrines avis?,Philip K. Dick,11.59,4,9,Fantastika
Amžinybės fjordo pranašai,Kim Leine,11.29,4,14,Fantastika
Nevilties miestas,Arkadij Strugackij...,9.99,4,6,Fantastika
"NEMATOMAS ŽMOGUS: mokslinės fantastikos kūrinys, pralenkęs laiką ir jau 140 metų audrinantis skaitytojų protą ir fantaziją. Vėlesnes fantastų kartas įkvėpusi knyga, kurią turi perskaityti kiekvienas išsilavinęs žmogus",Herbert George Wells,7.69,4,19,Fantastika
Laiko mašina. Daktaro Moro sala,Herbert Goerge Wells,6.09,5,4,Fantastika
Marso princesė,Edgar Rice Burroughs,8.19,5,1,Fantastika
Soliaris (2017),Stanisław Lem,11.59,5,6,Fantastika
Restoranas visatos pabaigoje,Douglas Adams,7.29,4,7,Fantastika
Keliautojo autostopu gidas po galaktiką,Douglas Adams,10.29,4,11,Fantastika
"Fletcher, M: Beyond Redemption",Michael R. Fletcher,39.09,4,0,Fantastika
Book of Dragons,Nezinomas autorius,50.89,4,0,Fantastika
"Valdes, V: Prime Deceptions",Valerie Valdes,28.89,4,0,Fantastika
"Bonesteel, E: Cold Between",Elizabeth Bonesteel,30.59,4,0,Fantastika
Black Powder War,Naomi Novik,21.49,4,0,Fantastika
Dune: The Butlerian Jihad,"Brian Herbert, Kev...",13.69,4,0,Fantastika
Throne of Jade,Naomi Novik,2.69,4,0,Fantastika
Empire of Ivory,Naomi Novik,21.49,4,0,Fantastika
A Conjuring of Light,V. E. Schwab,18.29,4,0,Fantastika
A Gathering of Shadows,V. E. Schwab,18.29,4,0,Fantastika
"Windo, N: Feed",Nick Clark Windo,30.59,3,0,Fantastika
"Wagers, K: Pale Light in the Black",K. B. Wagers,23.79,4,0,Fantastika
"Lunde, M: End of the Ocean",Maja Lunde,23.79,4,0,Fantastika
"De Villeneuve, G: Beauty and the Beast",Gabrielle-Suzanne...,35.69,4,0,Fantastika
"Kadrey, R: Wrong Dead Guy",Richard Kadrey,28.89,4,0,Fantastika
The Assassin's Blade,Sarah J. Maas,13.39,4,0,Fantastika
The Shattered Skies,John Birmingham,14.89,4,0,Fantastika
Angel Fire (Fallen Angels - Book 1),Valmore Daniels,5.29,4,0,Fantastika
Perhaps the Stars,Ada Palmer,14.89,4,0,Fantastika
A Desolation Called Peace,Arkady Martine,17.59,4,0,Fantastika
The Echo Wife,Sarah Gailey,16.99,4,0,Fantastika
"Bo-Young, K: I'm Waiting for You",Kim Bo-Young,30.59,4,0,Fantastika
"Kelly, G: Frozen Crown",Greta Kelly,32.29,4,0,Fantastika
Invisible Sun,Charles Stross,17.59,4,0,Fantastika
Under the Whispering Door,TJ Klune,18.29,4,0,Fantastika
True Dead,Faith Hunter,10.69,4,0,Fantastika
The Empire's Ruin,Brian Staveley,18.89,4,0,Fantastika
Boundless,Jack Campbell,7.39,4,0,Fantastika
Angel of the Overpass,Seanan McGuire,23.49,4,0,Fantastika
Black Water Sister,Zen Cho,8.69,4,0,Fantastika
Shadowed Steel,Chloe Neill,19.49,4,0,Fantastika
Fugitive Telemetry,Martha Wells,20.89,4,0,Fantastika
The Last Watch,J. S. Dewes,18.89,4,0,Fantastika
The Girl and the Mountain,Mark Lawrence,14.09,4,0,Fantastika
Wild Sign,Patricia Briggs,14.09,5,0,Fantastika
The Queen's Weapons,Anne Bishop,14.09,4,0,Fantastika
A Desolation Called Peace,Arkady Martine,18.89,4,0,Fantastika
Calculated Risks,Seanan McGuire,10.69,4,0,Fantastika
Rafael,Laurell K. Hamilton,14.09,4,0,Fantastika
The Witch's Heart,Genevieve Gornichec,9.39,4,0,Fantastika
Fireheart Tiger,Aliette de Bodard,13.69,3,0,Fantastika
A History of What Comes Next,Sylvain Neuvel,16.99,4,0,Fantastika
Winter's Orbit,Everina Maxwell,18.89,4,0,Fantastika
Remote Control,Nnedi Okorafor,20.89,4,0,Fantastika
Into the Light,"David Weber, Chris...",16.29,4,0,Fantastika
Across the Green Grass Fields,Seanan McGuire,20.29,4,0,Fantastika
The Ruthless Lady's Guide to Wizardry,C. M. Waggoner,11.39,4,0,Fantastika
Bear Head,Adrian Tchaikovsky,14.89,4,0,Fantastika
Ender's Game,Orson Scott Card,11.09,4,0,Fantastika
"Life, the Universe and Everything",Douglas Adams,14.09,4,0,Fantastika
Foundation's Edge,Isaac Asimov,12.79,4,0,Fantastika
Mostly Harmless,Douglas Adams,14.79,4,0,Fantastika
Forward the Foundation,Isaac Asimov,12.79,4,0,Fantastika
Foundation and Empire,Isaac Asimov,12.79,4,0,Fantastika
Second Foundation,Isaac Asimov,11.39,4,0,Fantastika
The House in the Cerulean Sea,TJ Klune,18.29,4,0,Fantastika
Foundation and Earth,Isaac Asimov,12.79,4,0,Fantastika
Prelude to Foundation,Isaac Asimov,12.79,4,0,Fantastika
Foundation,Isaac Asimov,13.39,4,0,Fantastika
A Storm of Swords: The Illustrated Edition,George R. R. Martin,16.09,5,0,Fantastika
Sooner or Later Everything Falls Into the Sea,Sarah Pinsker,11.19,4,0,Fantastika
The Chrysalids,John Wyndham,20.79,4,0,Fantastika
Tales from the Cafe,Toshikazu Kawaguchi,18.89,5,1,Fantastika
The Memory of Souls,Jenn Lyons,22.89,4,0,Fantastika
The Memory of Souls,Jenn Lyons,20.89,4,0,Fantastika
Grimms' Fairy Tales,Jacob Ludwig Carl...,2.49,4,0,Fantastika
Ashes of the Sun,Django Wexler,8.99,4,0,Fantastika
Axiom's End,Lindsay Ellis,18.29,4,0,Fantastika
The Book of Dragons,Edith Nesbit,4.69,4,0,Fantastika
The Relentless Moon,Mary Robinette Kowal,13.69,4,0,Fantastika
The Shadow out of Time,Howard Phillips Lo...,4.69,4,0,Fantastika
The Blue Fairy Book,Andrew Lang,7.89,4,0,Fantastika
American Fairy Tales,Lyman Frank Baum,4.69,4,0,Fantastika
Unconquerable Sun,Kate Elliott,22.89,4,0,Fantastika
The Dunwich Horror,Howard Philips Lov...,5.49,4,0,Fantastika
Stranger Things Happen,Kelly Link,5.49,4,0,Fantastika
The Angel of the Crows,Katherine Addison,20.29,4,0,Fantastika
Fifty Famous Stories Retold,James Baldwin,1.59,4,0,Fantastika
Enchanted,Nora Roberts,7.79,4,0,Fantastika
Entranced,Nora Roberts,7.79,4,0,Fantastika
Charmed,Nora Roberts,7.79,4,0,Fantastika
Sir Gawain and the Green Knight,Anonymous,6.39,4,0,Fantastika
Network Effect,Martha Wells,18.29,4,0,Fantastika
Driving the Deep,Suzanne Palmer,10.69,4,0,Fantastika
Chosen Ones,Veronica Roth,34.09,4,0,Fantastika
Around the World in 80 days,Jules Verne,5.99,4,0,Fantastika
The Picture of Dorian Gray,Oscar Wilde,5.99,4,0,Fantastika
The Empress of Salt and Fortune,Nghi Vo,5.19,4,0,Fantastika
Kwaidan: Stories and Studies of Strange Things,Lafcadio Hearn,8.69,4,0,Fantastika
The Queen's Bargain,Anne Bishop,14.09,4,0,Fantastika
Treason of Thorns,Nezinomas autorius,13.49,3,0,Fantastika
We,Yevgeny Zamyatin,2.39,4,0,Fantastika
The Hidden Girl and Other Stories,Ken Liu,11.19,4,0,Fantastika
Imaginary Numbers,Seanan McGuire,10.69,4,0,Fantastika
The Unspoken Name,A. K. Larkwood,18.89,4,0,Fantastika
His Master's Voice,Stanislaw Lem,28.89,4,0,Fantastika
The Invincible,Stanislaw Lem,26.89,4,0,Fantastika
Return from the Stars,Stanislaw Lem,34.99,4,0,Fantastika
Memoirs of a Space Traveler,Stanislaw Lem,26.89,4,0,Fantastika
Strange Tales from a Chinese Studio,Pu Songling,15.09,4,0,Fantastika
Sign of Chaos,Roger Zelazny,9.89,4,0,Fantastika
Prosper's Demon,K. J. Parker,5.19,4,0,Fantastika
The Pied Piper of Hamelin,Robert Browning,6.79,4,0,Fantastika
Heart of Black Ice,Terry Goodkind,12.69,4,0,Fantastika
Rip Van Winkle,Washington Irving,6.79,4,0,Fantastika
Elfland,Freda Warrington,11.89,4,0,Fantastika
"Colfer, E: Highfire",Eoin Colfer,37.39,4,0,Fantastika
"Chang, J: Library of Legends",Janie Chang,39.09,4,0,Fantastika
"Praag, M: Sisters Grimm",Menna Van Praag,23.79,3,0,Fantastika
Witch's Oath,Terry Goodkind,8.99,4,0,Fantastika
Nine Princes in Amber,Roger Zelazny,9.89,4,0,Fantastika
Into Darkness,Terry Goodkind,8.99,4,0,Fantastika
Little Free Library,Naomi Kritzer,1.89,4,0,Fantastika
Legion: Lies of the Beholder,Brandon Sanderson,3.29,4,0,Fantastika
The Queen of Raiders,Sarah Kozloff,16.29,4,0,Fantastika
The Sand Sea,Michael McClellan,17.39,4,0,Fantastika
When the Tiger Came Down the Mountain,Nghi Vo,5.19,4,0,Fantastika
Jolene,Mercedes Lackey,12.79,4,0,Fantastika
Grave War,Kalayna Price,10.69,4,0,Fantastika
The Princess Knight,G. A. Aiken,18.29,4,0,Fantastika
The Awakening,Nora Roberts,16.99,4,0,Fantastika
Eve of Darkness,"S. J. Day, Sylvia Day",11.79,4,0,Fantastika
Dr. Jekyll and Mr. Hyde,Robert Louis Steve...,1.29,4,0,Fantastika
The Scarlet Plague,Jack London,1.99,4,0,Fantastika
A Journal of the Plague Year,Daniel Defoe,1.99,4,0,Fantastika
Rhythm of War,Brandon Sanderson,30.69,5,0,Fantastika
Five Children and It,Edith Nesbit,1.59,4,0,Fantastika
The Time Machine,H. G Wells,6.79,4,0,Fantastika
The Last Emperox,John Scalzi,17.59,4,0,Fantastika
The Saints of Salvation,Peter F. Hamilton,17.59,4,0,Fantastika
The Dark Archive,Genevieve Cogman,17.59,4,0,Fantastika
Ghost Money,Stephen Blackmoore,10.69,4,0,Fantastika
