Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Kol dar neišaiškėjo tiesa. Tarptautinio bestselerio „Kol dar neatšalo kava“ autoriaus romanas,Toshikazu Kawaguchi,12.19,4,4,Užsienio romanai
VIEŠNIA. Kai kurios paslaptys niekada nepalieka,B. A. Paris,13.89,4,10,Užsienio romanai
Pakabink mėnulį. Garsiojo romano „Stiklo pilis“ autorės knyga,Jeannette Walls,15.49,4,4,Užsienio romanai
Lakštingala,Kristin Hannah,10.99,4,62,Užsienio romanai
Minčių žaidimai,Nora Roberts,10.99,4,3,Užsienio romanai
Komoda spalvotais stalčiais,Olivia Ruiz,10.89,4,4,Užsienio romanai
Trapių daiktų prigimtis,Susan Meissner,13.39,4,9,Užsienio romanai
Žemiškos pabaisos,J.M. Miro,16.59,4,4,Užsienio romanai
SUKTA MEILĖ. Pirmoji serijos „Twisted“ knyga,Ana Huang,13.39,4,46,Užsienio romanai
Lapkričio 9,Colleen Hoover,13.39,4,41,Užsienio romanai
JEI NE TU. Pasaulinio bestselerio „Mes dedame tašką“ autorės knyga,Colleen Hoover,13.99,4,26,Užsienio romanai
Arkados,Katy Hays,13.99,3,5,Užsienio romanai
Kopa. Kapitulos namai. Šešta „Kopa“ kronikų knyga,Frank Herbert,20.89,5,2,Užsienio romanai
Vasara,Edith Wharton,11.79,5,6,Užsienio romanai
Pabudimas,Kate Chopin,9.69,5,7,Užsienio romanai
Šalies paprotys,Edith Wharton,17.59,5,7,Užsienio romanai
TROŠKIMAS. Nr. 1 New York Times bestseleris – kolekcinis 600 psl. leidimas kietais viršeliais,Tracy Wolff,15.99,3,7,Užsienio romanai
Kopa. Kopos eretikai. Penkta „Kopa“ kronikų knyga,Frank Herbert,20.89,4,6,Užsienio romanai
Kaip išžudyti savo šeimą,Bella Mackie,11.99,4,0,Užsienio romanai
Dingusių žodžių žodynas,Pip Williams,15.29,5,3,Užsienio romanai
"Čia, Avalone",Tara Isabella Burton,8.69,5,2,Užsienio romanai
Džulija. George Orwello „1984-ųjų“ perpasakojimas,Sandra Newman,9.79,0,0,Užsienio romanai
